"","X","instant","dteday","season","yr","mnth","hr","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","cnt","mnth2","weekday2","hr2"
"896",837,837,"2/7/11",1,0,2,7,0,1,1,1,0.18,0.2424,0.86,0,6,89,95,"February","Monday","7 AM"
"897",838,838,"2/7/11",1,0,2,8,0,1,1,2,0.16,0.2273,1,0,7,223,230,"February","Monday","8 AM"
"898",839,839,"2/7/11",1,0,2,9,0,1,1,1,0.22,0.2727,0.8,0,3,115,118,"February","Monday","9 AM"
"899",840,840,"2/7/11",1,0,2,10,0,1,1,1,0.24,0.2576,0.75,0.1045,6,49,55,"February","Monday","10 AM"
"900",841,841,"2/7/11",1,0,2,11,0,1,1,1,0.3,0.3182,0.65,0.0896,11,36,47,"February","Monday","11 AM"
"901",842,842,"2/7/11",1,0,2,12,0,1,1,2,0.32,0.3485,0.62,0,7,59,66,"February","Monday","12 PM"
"902",843,843,"2/7/11",1,0,2,13,0,1,1,2,0.36,0.3636,0.57,0.0896,10,54,64,"February","Monday","1 PM"
"903",844,844,"2/7/11",1,0,2,14,0,1,1,2,0.36,0.3636,0.57,0.0896,8,52,60,"February","Monday","2 PM"
"904",845,845,"2/7/11",1,0,2,15,0,1,1,2,0.38,0.3939,0.54,0.0896,4,46,50,"February","Monday","3 PM"
"905",846,846,"2/7/11",1,0,2,16,0,1,1,2,0.36,0.3485,0.57,0.1343,16,98,114,"February","Monday","4 PM"
"906",847,847,"2/7/11",1,0,2,17,0,1,1,2,0.32,0.3182,0.7,0.1642,9,207,216,"February","Monday","5 PM"
"907",848,848,"2/7/11",1,0,2,18,0,1,1,2,0.34,0.3333,0.66,0.1343,5,170,175,"February","Monday","6 PM"
"908",849,849,"2/7/11",1,0,2,19,0,1,1,2,0.32,0.3485,0.7,0,5,123,128,"February","Monday","7 PM"
"909",850,850,"2/7/11",1,0,2,20,0,1,1,2,0.32,0.3333,0.7,0.1045,6,82,88,"February","Monday","8 PM"
"910",851,851,"2/7/11",1,0,2,21,0,1,1,1,0.32,0.3485,0.7,0,3,75,78,"February","Monday","9 PM"
"911",852,852,"2/7/11",1,0,2,22,0,1,1,1,0.28,0.303,0.81,0.0896,3,34,37,"February","Monday","10 PM"
"912",853,853,"2/7/11",1,0,2,23,0,1,1,2,0.3,0.3333,0.81,0,6,19,25,"February","Monday","11 PM"
"913",854,854,"2/8/11",1,0,2,0,0,2,1,2,0.28,0.3182,0.87,0,4,6,10,"February","Tuesday","12 AM"
"914",855,855,"2/8/11",1,0,2,1,0,2,1,2,0.28,0.3182,0.87,0,0,4,4,"February","Tuesday","1 AM"
"915",856,856,"2/8/11",1,0,2,2,0,2,1,2,0.26,0.2727,0.93,0.1045,1,1,2,"February","Tuesday","2 AM"
"916",857,857,"2/8/11",1,0,2,3,0,2,1,3,0.28,0.2727,0.93,0.1642,0,1,1,"February","Tuesday","3 AM"
"917",858,858,"2/8/11",1,0,2,4,0,2,1,1,0.26,0.2576,0.93,0.1642,0,3,3,"February","Tuesday","4 AM"
"918",859,859,"2/8/11",1,0,2,5,0,2,1,1,0.26,0.2273,0.81,0.3284,0,2,2,"February","Tuesday","5 AM"
"919",860,860,"2/8/11",1,0,2,6,0,2,1,1,0.26,0.2273,0.7,0.3284,0,39,39,"February","Tuesday","6 AM"
"920",861,861,"2/8/11",1,0,2,7,0,2,1,1,0.24,0.197,0.65,0.4179,3,97,100,"February","Tuesday","7 AM"
"921",862,862,"2/8/11",1,0,2,8,0,2,1,1,0.24,0.197,0.56,0.4925,7,236,243,"February","Tuesday","8 AM"
"922",863,863,"2/8/11",1,0,2,9,0,2,1,1,0.24,0.197,0.52,0.4925,7,128,135,"February","Tuesday","9 AM"
"923",864,864,"2/8/11",1,0,2,10,0,2,1,1,0.22,0.1818,0.47,0.5522,4,44,48,"February","Tuesday","10 AM"
"924",865,865,"2/8/11",1,0,2,11,0,2,1,1,0.22,0.1818,0.47,0.4627,1,49,50,"February","Tuesday","11 AM"
"925",866,866,"2/8/11",1,0,2,12,0,2,1,1,0.24,0.197,0.38,0.4925,2,63,65,"February","Tuesday","12 PM"
"926",867,867,"2/8/11",1,0,2,13,0,2,1,2,0.24,0.197,0.32,0.4478,2,48,50,"February","Tuesday","1 PM"
"927",868,868,"2/8/11",1,0,2,14,0,2,1,1,0.22,0.197,0.37,0.4179,3,61,64,"February","Tuesday","2 PM"
"928",869,869,"2/8/11",1,0,2,15,0,2,1,1,0.22,0.197,0.35,0.3881,6,45,51,"February","Tuesday","3 PM"
"929",870,870,"2/8/11",1,0,2,16,0,2,1,1,0.22,0.1818,0.35,0.5224,4,79,83,"February","Tuesday","4 PM"
"930",871,871,"2/8/11",1,0,2,17,0,2,1,1,0.22,0.1818,0.32,0.5821,4,172,176,"February","Tuesday","5 PM"
"931",872,872,"2/8/11",1,0,2,18,0,2,1,1,0.2,0.1818,0.32,0.3881,1,151,152,"February","Tuesday","6 PM"
"932",873,873,"2/8/11",1,0,2,19,0,2,1,1,0.16,0.1212,0.4,0.4627,1,100,101,"February","Tuesday","7 PM"
"933",874,874,"2/8/11",1,0,2,20,0,2,1,1,0.16,0.1364,0.4,0.3284,3,53,56,"February","Tuesday","8 PM"
"934",875,875,"2/8/11",1,0,2,21,0,2,1,1,0.14,0.1061,0.33,0.4627,8,46,54,"February","Tuesday","9 PM"
"935",876,876,"2/8/11",1,0,2,22,0,2,1,1,0.12,0.1061,0.33,0.3582,0,29,29,"February","Tuesday","10 PM"
"936",877,877,"2/8/11",1,0,2,23,0,2,1,1,0.12,0.1061,0.33,0.3284,3,9,12,"February","Tuesday","11 PM"
"937",878,878,"2/9/11",1,0,2,0,0,3,1,1,0.1,0.0758,0.36,0.3582,0,17,17,"February","Wednesday","12 AM"
"938",879,879,"2/9/11",1,0,2,1,0,3,1,1,0.1,0.1061,0.36,0.2239,0,7,7,"February","Wednesday","1 AM"
"939",880,880,"2/9/11",1,0,2,2,0,3,1,1,0.08,0.0758,0.38,0.2836,1,2,3,"February","Wednesday","2 AM"
"940",881,881,"2/9/11",1,0,2,3,0,3,1,1,0.06,0.0758,0.45,0.1343,0,2,2,"February","Wednesday","3 AM"
"941",17439,881.5,"2/9/11",1,0,2,4,0,3,1,NA,NA,NA,NA,NA,0,0,0,"February","Wednesday","4 AM"
"942",882,882,"2/9/11",1,0,2,5,0,3,1,1,0.06,0.1061,0.45,0.1045,0,7,7,"February","Wednesday","5 AM"
"943",883,883,"2/9/11",1,0,2,6,0,3,1,1,0.06,0.1515,0.45,0,0,43,43,"February","Wednesday","6 AM"
"944",884,884,"2/9/11",1,0,2,7,0,3,1,1,0.06,0.1061,0.49,0.1045,4,95,99,"February","Wednesday","7 AM"
"945",885,885,"2/9/11",1,0,2,8,0,3,1,1,0.1,0.1364,0.42,0,1,198,199,"February","Wednesday","8 AM"
"946",886,886,"2/9/11",1,0,2,9,0,3,1,1,0.12,0.1364,0.39,0.1642,4,119,123,"February","Wednesday","9 AM"
"947",887,887,"2/9/11",1,0,2,10,0,3,1,1,0.14,0.1818,0.36,0,8,51,59,"February","Wednesday","10 AM"
"948",888,888,"2/9/11",1,0,2,11,0,3,1,2,0.14,0.1515,0.43,0.1642,1,40,41,"February","Wednesday","11 AM"
"949",889,889,"2/9/11",1,0,2,12,0,3,1,2,0.18,0.1818,0.4,0.2239,4,57,61,"February","Wednesday","12 PM"
"950",890,890,"2/9/11",1,0,2,13,0,3,1,1,0.18,0.1667,0.4,0.2537,2,67,69,"February","Wednesday","1 PM"
"951",891,891,"2/9/11",1,0,2,14,0,3,1,1,0.2,0.1818,0.34,0.2985,2,56,58,"February","Wednesday","2 PM"
"952",892,892,"2/9/11",1,0,2,15,0,3,1,2,0.2,0.1818,0.34,0.2836,3,61,64,"February","Wednesday","3 PM"
"953",893,893,"2/9/11",1,0,2,16,0,3,1,2,0.2,0.197,0.37,0.2537,7,72,79,"February","Wednesday","4 PM"
"954",894,894,"2/9/11",1,0,2,17,0,3,1,2,0.2,0.197,0.34,0.2537,9,157,166,"February","Wednesday","5 PM"
"955",895,895,"2/9/11",1,0,2,18,0,3,1,2,0.18,0.1667,0.47,0.2985,2,168,170,"February","Wednesday","6 PM"
"956",896,896,"2/9/11",1,0,2,19,0,3,1,3,0.14,0.1212,0.86,0.2537,1,87,88,"February","Wednesday","7 PM"
"957",897,897,"2/9/11",1,0,2,20,0,3,1,3,0.14,0.1515,0.86,0.1642,0,84,84,"February","Wednesday","8 PM"
"958",898,898,"2/9/11",1,0,2,21,0,3,1,2,0.14,0.1515,0.86,0.1642,0,83,83,"February","Wednesday","9 PM"
"959",899,899,"2/9/11",1,0,2,22,0,3,1,3,0.16,0.1667,0.8,0.1642,4,42,46,"February","Wednesday","10 PM"
"960",900,900,"2/9/11",1,0,2,23,0,3,1,3,0.16,0.1515,0.8,0.194,0,37,37,"February","Wednesday","11 PM"
"961",901,901,"2/10/11",1,0,2,0,0,4,1,3,0.14,0.1364,0.86,0.194,0,16,16,"February","Thursday","12 AM"
"962",902,902,"2/10/11",1,0,2,1,0,4,1,3,0.14,0.1515,0.8,0.1343,0,7,7,"February","Thursday","1 AM"
"963",903,903,"2/10/11",1,0,2,2,0,4,1,3,0.14,0.1515,0.8,0.1343,0,3,3,"February","Thursday","2 AM"
"964",17440,903.5,"2/10/11",1,0,2,3,0,4,1,NA,NA,NA,NA,NA,0,0,0,"February","Thursday","3 AM"
"965",904,904,"2/10/11",1,0,2,4,0,4,1,2,0.14,0.1364,0.59,0.2239,0,1,1,"February","Thursday","4 AM"
"966",905,905,"2/10/11",1,0,2,5,0,4,1,2,0.12,0.1212,0.5,0.2239,0,6,6,"February","Thursday","5 AM"
"967",906,906,"2/10/11",1,0,2,6,0,4,1,2,0.12,0.1212,0.54,0.2836,0,26,26,"February","Thursday","6 AM"
"968",907,907,"2/10/11",1,0,2,7,0,4,1,1,0.1,0.0758,0.5,0.4179,0,99,99,"February","Thursday","7 AM"
"969",908,908,"2/10/11",1,0,2,8,0,4,1,1,0.1,0.0758,0.49,0.3284,5,173,178,"February","Thursday","8 AM"
"970",909,909,"2/10/11",1,0,2,9,0,4,1,1,0.12,0.1061,0.42,0.3582,1,121,122,"February","Thursday","9 AM"
"971",910,910,"2/10/11",1,0,2,10,0,4,1,1,0.12,0.1061,0.42,0.2985,1,34,35,"February","Thursday","10 AM"
"972",911,911,"2/10/11",1,0,2,11,0,4,1,1,0.14,0.1212,0.39,0.3582,1,44,45,"February","Thursday","11 AM"
"973",912,912,"2/10/11",1,0,2,12,0,4,1,1,0.16,0.1364,0.34,0.3881,4,65,69,"February","Thursday","12 PM"
"974",913,913,"2/10/11",1,0,2,13,0,4,1,1,0.18,0.1667,0.29,0.2985,3,59,62,"February","Thursday","1 PM"
"975",914,914,"2/10/11",1,0,2,14,0,4,1,1,0.2,0.1818,0.27,0.2836,6,42,48,"February","Thursday","2 PM"
"976",915,915,"2/10/11",1,0,2,15,0,4,1,1,0.2,0.197,0.25,0.2537,0,50,50,"February","Thursday","3 PM"
"977",916,916,"2/10/11",1,0,2,16,0,4,1,1,0.2,0.1818,0.27,0.2985,4,76,80,"February","Thursday","4 PM"
"978",917,917,"2/10/11",1,0,2,17,0,4,1,1,0.18,0.1818,0.26,0.194,6,159,165,"February","Thursday","5 PM"
"979",918,918,"2/10/11",1,0,2,18,0,4,1,1,0.16,0.1818,0.28,0.1343,3,157,160,"February","Thursday","6 PM"
"980",919,919,"2/10/11",1,0,2,19,0,4,1,1,0.14,0.1667,0.28,0.1045,2,110,112,"February","Thursday","7 PM"
"981",920,920,"2/10/11",1,0,2,20,0,4,1,1,0.14,0.1818,0.31,0.0896,4,93,97,"February","Thursday","8 PM"
"982",921,921,"2/10/11",1,0,2,21,0,4,1,1,0.14,0.2121,0.39,0,2,70,72,"February","Thursday","9 PM"
"983",922,922,"2/10/11",1,0,2,22,0,4,1,1,0.12,0.197,0.39,0,4,47,51,"February","Thursday","10 PM"
"984",923,923,"2/10/11",1,0,2,23,0,4,1,1,0.12,0.1515,0.42,0.1045,1,33,34,"February","Thursday","11 PM"
"985",924,924,"2/11/11",1,0,2,0,0,5,1,1,0.1,0.1364,0.49,0.1045,2,12,14,"February","Friday","12 AM"
"986",925,925,"2/11/11",1,0,2,1,0,5,1,1,0.1,0.1364,0.54,0.0896,1,6,7,"February","Friday","1 AM"
"987",926,926,"2/11/11",1,0,2,2,0,5,1,1,0.1,0.1364,0.54,0.0896,0,3,3,"February","Friday","2 AM"
"988",17441,926.333333333333,"2/11/11",1,0,2,3,0,5,1,NA,NA,NA,NA,NA,0,0,0,"February","Friday","3 AM"
"989",17442,926.666666666667,"2/11/11",1,0,2,4,0,5,1,NA,NA,NA,NA,NA,0,0,0,"February","Friday","4 AM"
"990",927,927,"2/11/11",1,0,2,5,0,5,1,1,0.08,0.1212,0.63,0.0896,0,4,4,"February","Friday","5 AM"
"991",928,928,"2/11/11",1,0,2,6,0,5,1,1,0.1,0.1818,0.68,0,1,23,24,"February","Friday","6 AM"
"992",929,929,"2/11/11",1,0,2,7,0,5,1,1,0.08,0.1667,0.73,0,1,73,74,"February","Friday","7 AM"
"993",930,930,"2/11/11",1,0,2,8,0,5,1,1,0.1,0.1212,0.74,0.1642,4,212,216,"February","Friday","8 AM"
"994",931,931,"2/11/11",1,0,2,9,0,5,1,1,0.12,0.1212,0.74,0.2239,8,132,140,"February","Friday","9 AM"
"995",932,932,"2/11/11",1,0,2,10,0,5,1,1,0.14,0.1364,0.69,0.194,5,39,44,"February","Friday","10 AM"
"996",933,933,"2/11/11",1,0,2,11,0,5,1,1,0.22,0.2273,0.47,0.1343,12,52,64,"February","Friday","11 AM"
"997",934,934,"2/11/11",1,0,2,12,0,5,1,1,0.22,0.2273,0.47,0.1343,7,64,71,"February","Friday","12 PM"
"998",935,935,"2/11/11",1,0,2,13,0,5,1,1,0.24,0.2273,0.35,0.194,21,89,110,"February","Friday","1 PM"
"999",936,936,"2/11/11",1,0,2,14,0,5,1,1,0.3,0.2879,0.26,0.2537,17,67,84,"February","Friday","2 PM"
"1000",937,937,"2/11/11",1,0,2,15,0,5,1,1,0.32,0.3182,0.21,0.1642,12,62,74,"February","Friday","3 PM"
"1001",938,938,"2/11/11",1,0,2,16,0,5,1,1,0.3,0.2879,0.28,0.194,14,111,125,"February","Friday","4 PM"
"1002",939,939,"2/11/11",1,0,2,17,0,5,1,1,0.3,0.3333,0.24,0,18,193,211,"February","Friday","5 PM"
"1003",940,940,"2/11/11",1,0,2,18,0,5,1,1,0.28,0.3182,0.28,0,9,165,174,"February","Friday","6 PM"
"1004",941,941,"2/11/11",1,0,2,19,0,5,1,1,0.26,0.303,0.33,0,7,94,101,"February","Friday","7 PM"
"1005",942,942,"2/11/11",1,0,2,20,0,5,1,1,0.22,0.2273,0.55,0.1343,2,61,63,"February","Friday","8 PM"
"1006",943,943,"2/11/11",1,0,2,21,0,5,1,1,0.2,0.2121,0.59,0.1343,1,46,47,"February","Friday","9 PM"
"1007",944,944,"2/11/11",1,0,2,22,0,5,1,1,0.2,0.2273,0.64,0.0896,2,41,43,"February","Friday","10 PM"
"1008",945,945,"2/11/11",1,0,2,23,0,5,1,1,0.18,0.2424,0.69,0,5,48,53,"February","Friday","11 PM"
"1009",946,946,"2/12/11",1,0,2,0,0,6,0,1,0.16,0.197,0.69,0.0896,3,27,30,"February","Saturday","12 AM"
"1010",947,947,"2/12/11",1,0,2,1,0,6,0,1,0.14,0.2121,0.86,0,2,22,24,"February","Saturday","1 AM"
"1011",948,948,"2/12/11",1,0,2,2,0,6,0,1,0.14,0.2121,0.8,0,2,13,15,"February","Saturday","2 AM"
"1012",949,949,"2/12/11",1,0,2,3,0,6,0,1,0.12,0.197,0.8,0,3,7,10,"February","Saturday","3 AM"
"1013",950,950,"2/12/11",1,0,2,4,0,6,0,1,0.12,0.1667,0.74,0.0896,0,4,4,"February","Saturday","4 AM"
"1014",951,951,"2/12/11",1,0,2,5,0,6,0,1,0.12,0.1667,0.74,0.0896,0,1,1,"February","Saturday","5 AM"
"1015",952,952,"2/12/11",1,0,2,6,0,6,0,1,0.12,0.1364,0.93,0.194,1,1,2,"February","Saturday","6 AM"
"1016",953,953,"2/12/11",1,0,2,7,0,6,0,1,0.12,0.1515,0.8,0.1045,2,9,11,"February","Saturday","7 AM"
"1017",954,954,"2/12/11",1,0,2,8,0,6,0,1,0.14,0.1515,0.86,0.1343,2,28,30,"February","Saturday","8 AM"
"1018",955,955,"2/12/11",1,0,2,9,0,6,0,1,0.16,0.1818,0.64,0.1343,5,38,43,"February","Saturday","9 AM"
"1019",956,956,"2/12/11",1,0,2,10,0,6,0,1,0.22,0.2121,0.41,0.2537,13,71,84,"February","Saturday","10 AM"
"1020",957,957,"2/12/11",1,0,2,11,0,6,0,1,0.3,0.2727,0.28,0.3284,30,84,114,"February","Saturday","11 AM"
"1021",958,958,"2/12/11",1,0,2,12,0,6,0,1,0.3,0.2727,0.39,0.4627,27,93,120,"February","Saturday","12 PM"
"1022",959,959,"2/12/11",1,0,2,13,0,6,0,1,0.3,0.2727,0.39,0.4179,32,103,135,"February","Saturday","1 PM"
"1023",960,960,"2/12/11",1,0,2,14,0,6,0,1,0.34,0.3182,0.31,0.2836,30,90,120,"February","Saturday","2 PM"
"1024",961,961,"2/12/11",1,0,2,15,0,6,0,1,0.34,0.303,0.29,0.4179,47,127,174,"February","Saturday","3 PM"
"1025",962,962,"2/12/11",1,0,2,16,0,6,0,1,0.34,0.303,0.29,0.4179,42,103,145,"February","Saturday","4 PM"
"1026",963,963,"2/12/11",1,0,2,17,0,6,0,1,0.32,0.2879,0.31,0.5224,24,113,137,"February","Saturday","5 PM"
"1027",964,964,"2/12/11",1,0,2,18,0,6,0,1,0.28,0.2576,0.38,0.3284,4,60,64,"February","Saturday","6 PM"
"1028",965,965,"2/12/11",1,0,2,19,0,6,0,1,0.28,0.2727,0.38,0.1642,2,39,41,"February","Saturday","7 PM"
"1029",966,966,"2/12/11",1,0,2,20,0,6,0,1,0.26,0.2576,0.41,0.2239,1,39,40,"February","Saturday","8 PM"
"1030",967,967,"2/12/11",1,0,2,21,0,6,0,1,0.26,0.303,0.41,0,9,42,51,"February","Saturday","9 PM"
"1031",968,968,"2/12/11",1,0,2,22,0,6,0,1,0.24,0.2576,0.44,0.0896,6,39,45,"February","Saturday","10 PM"
"1032",969,969,"2/12/11",1,0,2,23,0,6,0,1,0.22,0.2273,0.51,0.1343,1,31,32,"February","Saturday","11 PM"
"1033",970,970,"2/13/11",1,0,2,0,0,0,0,1,0.2,0.2273,0.64,0.1045,5,34,39,"February","Sunday","12 AM"
"1034",971,971,"2/13/11",1,0,2,1,0,0,0,1,0.2,0.2273,0.59,0.0896,1,23,24,"February","Sunday","1 AM"
"1035",972,972,"2/13/11",1,0,2,2,0,0,0,2,0.2,0.2273,0.75,0.0896,1,19,20,"February","Sunday","2 AM"
"1036",973,973,"2/13/11",1,0,2,3,0,0,0,2,0.2,0.2273,0.69,0.1045,4,8,12,"February","Sunday","3 AM"
"1037",974,974,"2/13/11",1,0,2,4,0,0,0,2,0.2,0.2121,0.69,0.1642,0,2,2,"February","Sunday","4 AM"
"1038",17443,974.5,"2/13/11",1,0,2,5,0,0,0,NA,NA,NA,NA,NA,0,0,0,"February","Sunday","5 AM"
"1039",975,975,"2/13/11",1,0,2,6,0,0,0,2,0.2,0.2121,0.69,0.1343,2,3,5,"February","Sunday","6 AM"
"1040",976,976,"2/13/11",1,0,2,7,0,0,0,2,0.22,0.2727,0.55,0,0,3,3,"February","Sunday","7 AM"
"1041",977,977,"2/13/11",1,0,2,8,0,0,0,2,0.22,0.2273,0.64,0.194,1,11,12,"February","Sunday","8 AM"
"1042",978,978,"2/13/11",1,0,2,9,0,0,0,2,0.24,0.2273,0.6,0.2239,12,35,47,"February","Sunday","9 AM"
"1043",979,979,"2/13/11",1,0,2,10,0,0,0,1,0.3,0.2727,0.45,0.3284,19,86,105,"February","Sunday","10 AM"
"1044",980,980,"2/13/11",1,0,2,11,0,0,0,1,0.32,0.2879,0.39,0.4478,26,86,112,"February","Sunday","11 AM"
"1045",981,981,"2/13/11",1,0,2,12,0,0,0,1,0.36,0.3182,0.32,0.4627,58,94,152,"February","Sunday","12 PM"
"1046",982,982,"2/13/11",1,0,2,13,0,0,0,1,0.38,0.3939,0.29,0.3582,62,92,154,"February","Sunday","1 PM"
"1047",983,983,"2/13/11",1,0,2,14,0,0,0,2,0.4,0.4091,0.3,0.4179,51,110,161,"February","Sunday","2 PM"
"1048",984,984,"2/13/11",1,0,2,15,0,0,0,2,0.4,0.4091,0.3,0.2985,40,122,162,"February","Sunday","3 PM"
"1049",985,985,"2/13/11",1,0,2,16,0,0,0,2,0.42,0.4242,0.28,0.3284,28,106,134,"February","Sunday","4 PM"
"1050",986,986,"2/13/11",1,0,2,17,0,0,0,1,0.42,0.4242,0.28,0.3284,30,95,125,"February","Sunday","5 PM"
"1051",987,987,"2/13/11",1,0,2,18,0,0,0,1,0.4,0.4091,0.32,0.2985,17,78,95,"February","Sunday","6 PM"
"1052",988,988,"2/13/11",1,0,2,19,0,0,0,1,0.4,0.4091,0.35,0.2836,11,50,61,"February","Sunday","7 PM"
"1053",989,989,"2/13/11",1,0,2,20,0,0,0,1,0.4,0.4091,0.35,0.3284,15,32,47,"February","Sunday","8 PM"
"1054",990,990,"2/13/11",1,0,2,21,0,0,0,1,0.4,0.4091,0.35,0.3582,6,45,51,"February","Sunday","9 PM"
"1055",991,991,"2/13/11",1,0,2,22,0,0,0,1,0.4,0.4091,0.35,0.2985,5,31,36,"February","Sunday","10 PM"
"1056",992,992,"2/13/11",1,0,2,23,0,0,0,1,0.4,0.4091,0.35,0.3582,3,27,30,"February","Sunday","11 PM"
"1057",993,993,"2/14/11",1,0,2,0,0,1,1,1,0.38,0.3939,0.37,0.3582,3,8,11,"February","Monday","12 AM"
"1058",994,994,"2/14/11",1,0,2,1,0,1,1,1,0.38,0.3939,0.37,0.3582,1,6,7,"February","Monday","1 AM"
"1059",995,995,"2/14/11",1,0,2,2,0,1,1,1,0.36,0.3333,0.4,0.2985,0,2,2,"February","Monday","2 AM"
"1060",996,996,"2/14/11",1,0,2,3,0,1,1,1,0.34,0.3182,0.46,0.2239,1,1,2,"February","Monday","3 AM"
"1061",997,997,"2/14/11",1,0,2,4,0,1,1,1,0.32,0.303,0.53,0.2836,0,2,2,"February","Monday","4 AM"
"1062",998,998,"2/14/11",1,0,2,5,0,1,1,1,0.32,0.303,0.53,0.2836,0,3,3,"February","Monday","5 AM"
"1063",999,999,"2/14/11",1,0,2,6,0,1,1,1,0.34,0.303,0.46,0.2985,1,25,26,"February","Monday","6 AM"
"1064",1000,1000,"2/14/11",1,0,2,7,0,1,1,1,0.34,0.303,0.46,0.2985,2,96,98,"February","Monday","7 AM"
"1065",1001,1001,"2/14/11",1,0,2,8,0,1,1,1,0.38,0.3939,0.4,0.4627,7,249,256,"February","Monday","8 AM"
"1066",1002,1002,"2/14/11",1,0,2,9,0,1,1,1,0.4,0.4091,0.37,0.3881,8,122,130,"February","Monday","9 AM"
"1067",1003,1003,"2/14/11",1,0,2,10,0,1,1,1,0.44,0.4394,0.33,0.2239,9,46,55,"February","Monday","10 AM"
"1068",1004,1004,"2/14/11",1,0,2,11,0,1,1,1,0.52,0.5,0.23,0.2537,10,43,53,"February","Monday","11 AM"
"1069",1005,1005,"2/14/11",1,0,2,12,0,1,1,1,0.56,0.5303,0.22,0.4478,27,99,126,"February","Monday","12 PM"
"1070",1006,1006,"2/14/11",1,0,2,13,0,1,1,1,0.58,0.5455,0.19,0.3881,27,93,120,"February","Monday","1 PM"
"1071",1007,1007,"2/14/11",1,0,2,14,0,1,1,1,0.6,0.5909,0.15,0.4925,14,76,90,"February","Monday","2 PM"
"1072",1008,1008,"2/14/11",1,0,2,15,0,1,1,1,0.56,0.5303,0.21,0.6567,19,71,90,"February","Monday","3 PM"
"1073",1009,1009,"2/14/11",1,0,2,16,0,1,1,1,0.52,0.5,0.27,0.4627,16,102,118,"February","Monday","4 PM"
"1074",1010,1010,"2/14/11",1,0,2,17,0,1,1,1,0.46,0.4545,0.33,0.6119,25,218,243,"February","Monday","5 PM"
"1075",1011,1011,"2/14/11",1,0,2,18,0,1,1,1,0.4,0.4091,0.4,0.6119,11,194,205,"February","Monday","6 PM"
"1076",1012,1012,"2/14/11",1,0,2,19,0,1,1,1,0.38,0.3939,0.43,0.4925,12,86,98,"February","Monday","7 PM"
"1077",1013,1013,"2/14/11",1,0,2,20,0,1,1,1,0.36,0.3182,0.46,0.4627,5,65,70,"February","Monday","8 PM"
"1078",1014,1014,"2/14/11",1,0,2,21,0,1,1,1,0.36,0.3182,0.5,0.5224,8,35,43,"February","Monday","9 PM"
"1079",1015,1015,"2/14/11",1,0,2,22,0,1,1,1,0.34,0.2879,0.46,0.6567,1,44,45,"February","Monday","10 PM"
"1080",1016,1016,"2/14/11",1,0,2,23,0,1,1,1,0.32,0.2879,0.49,0.4925,1,19,20,"February","Monday","11 PM"
"1081",1017,1017,"2/15/11",1,0,2,0,0,2,1,1,0.3,0.2727,0.49,0.4179,7,12,19,"February","Tuesday","12 AM"
"1082",1018,1018,"2/15/11",1,0,2,1,0,2,1,1,0.3,0.2424,0.42,0.7761,0,5,5,"February","Tuesday","1 AM"
"1083",1019,1019,"2/15/11",1,0,2,2,0,2,1,1,0.28,0.2273,0.41,0.6866,1,2,3,"February","Tuesday","2 AM"
"1084",17444,1019.5,"2/15/11",1,0,2,3,0,2,1,NA,NA,NA,NA,NA,0,0,0,"February","Tuesday","3 AM"
"1085",1020,1020,"2/15/11",1,0,2,4,0,2,1,1,0.22,0.1818,0.37,0.5224,0,1,1,"February","Tuesday","4 AM"
"1086",1021,1021,"2/15/11",1,0,2,5,0,2,1,1,0.22,0.1818,0.32,0.4627,0,4,4,"February","Tuesday","5 AM"
"1087",1022,1022,"2/15/11",1,0,2,6,0,2,1,1,0.2,0.1818,0.32,0.3284,0,30,30,"February","Tuesday","6 AM"
"1088",1023,1023,"2/15/11",1,0,2,7,0,2,1,1,0.2,0.1818,0.32,0.3582,2,103,105,"February","Tuesday","7 AM"
"1089",1024,1024,"2/15/11",1,0,2,8,0,2,1,1,0.2,0.1818,0.32,0.3582,10,213,223,"February","Tuesday","8 AM"
"1090",1025,1025,"2/15/11",1,0,2,9,0,2,1,1,0.22,0.197,0.29,0.4478,2,108,110,"February","Tuesday","9 AM"
"1091",1026,1026,"2/15/11",1,0,2,10,0,2,1,1,0.24,0.2121,0.27,0.2836,5,47,52,"February","Tuesday","10 AM"
"1092",1027,1027,"2/15/11",1,0,2,11,0,2,1,1,0.26,0.2424,0.25,0.2537,11,46,57,"February","Tuesday","11 AM"
"1093",1028,1028,"2/15/11",1,0,2,12,0,2,1,1,0.28,0.2727,0.24,0.2537,6,65,71,"February","Tuesday","12 PM"
"1094",1029,1029,"2/15/11",1,0,2,13,0,2,1,1,0.32,0.303,0.21,0.2239,14,68,82,"February","Tuesday","1 PM"
"1095",1030,1030,"2/15/11",1,0,2,14,0,2,1,1,0.34,0.3182,0.19,0.2239,10,69,79,"February","Tuesday","2 PM"
"1096",1031,1031,"2/15/11",1,0,2,15,0,2,1,1,0.34,0.3333,0.19,0.1642,11,74,85,"February","Tuesday","3 PM"
"1097",1032,1032,"2/15/11",1,0,2,16,0,2,1,1,0.34,0.3182,0.19,0.2537,21,77,98,"February","Tuesday","4 PM"
"1098",1033,1033,"2/15/11",1,0,2,17,0,2,1,1,0.32,0.303,0.22,0.2239,15,191,206,"February","Tuesday","5 PM"
